Block,Treatment,Warmed,Fertilized,Plate,Column,Row,Core,LAP.mm2.min,NAG.mm2.min,PHOS.mm2.min,ABTS.mm2.min,TMB.mm2.min,Area
B2,Control,N,N,MAT.C.B2,10,A,7,1.458167475,27.97118482,41.49712799,797.9497223,1047.172339,1.532
B2,Control,N,N,MAT.C.B2,10,B,7,NA,NA,NA,NA,NA,NA
B2,Control,N,N,MAT.C.B2,10,C,7,1.89124641,17.1834074,20.98785505,23.75524539,104.9292121,0.304
B2,Control,N,N,MAT.C.B2,10,D,7,3.597610643,4.544515294,9.604443261,31.39823739,101.7764569,0.63
B2,Control,N,N,MAT.C.B2,10,E,7,0.901724852,7.69367779,13.77357289,1.454234153,75.2946589,0.475
B2,Control,N,N,MAT.C.B2,10,F,7,2.64234582,7.104710594,14.34122606,382.4386168,833.8658576,0.233
B2,Control,N,N,MAT.C.B2,10,G,7,21.96189254,60.7212019,90.08482081,0,275.9709097,0.223
B2,Control,N,N,MAT.C.B2,10,H,7,NA,NA,NA,NA,NA,NA
B3,Control,N,N,MAT.C.B3,3,A,11,1.252585122,51.57642861,118.1065785,2377.17416,2211.060066,0.267
B3,Control,N,N,MAT.C.B3,3,B,11,1.269213615,31.48258853,77.68252511,114.6187135,899.5819359,0.918
B3,Control,N,N,MAT.C.B3,3,C,11,1.138634648,34.36269226,71.23597634,872.1539763,603.5386521,0.827
B3,Control,N,N,MAT.C.B3,3,D,11,1.045521829,34.13807116,75.28062015,623.9945703,1678.292084,0.578
B3,Control,N,N,MAT.C.B3,3,E,11,1.576990043,31.98856869,98.06315337,411.3412344,1145.713916,0.922
B3,Control,N,N,MAT.C.B3,3,F,11,1.641741004,44.54903179,116.175192,1214.807781,1336.153853,0.571
B3,Control,N,N,MAT.C.B3,3,G,11,4.295297523,50.71049467,212.7247449,0,398.5828341,0.312
B3,Control,N,N,MAT.C.B3,3,H,11,NA,NA,NA,NA,NA,NA
B3,Control,N,N,MAT.C.B3,4,A,11,0.730434791,54.34455259,108.8003696,2021.720272,2640.515862,0.429
B3,Control,N,N,MAT.C.B3,4,B,11,0.889970365,30.76585598,78.74117247,1277.908262,1551.745032,0.788
B3,Control,N,N,MAT.C.B3,4,C,11,1.624357353,33.72154779,119.3624911,1613.790044,2154.718057,0.52
B3,Control,N,N,MAT.C.B3,4,D,11,17.086914,23.70861301,102.6118568,8.152524796,274.5973585,0.399
B3,Control,N,N,MAT.C.B3,4,E,7,1.265782368,45.71686023,121.6244975,1715.048209,2054.405574,0.624
B3,Control,N,N,MAT.C.B3,4,F,7,15.93504046,11.53645034,135.6649059,1.231883717,111.5231501,0.485
B3,Control,N,N,MAT.C.B3,4,G,7,16.95750274,13.1848205,124.4763091,0,309.9377059,0.62
B3,Control,N,N,MAT.C.B3,4,H,7,18.78695216,15.72175155,146.754872,0,51.54718049,0.284
B3,Control,N,N,MAT.C.B3,5,A,7,0.158381177,8.320289632,21.88536298,64.15073941,254.1150782,0.208
B3,Control,N,N,MAT.C.B3,5,B,7,14.81917101,14.28732973,5.019113901,1.173798827,164.3923854,0.509
B3,Control,N,N,MAT.C.B3,5,C,7,0.643406278,10.78849034,39.59853239,24.10622855,350.3813878,0.179
B3,Control,N,N,MAT.C.B3,5,D,7,18.21349244,12.24004135,123.84138,0.084351772,322.4916817,0.787
B3,Control,N,N,MAT.C.B3,5,E,9,4.620675814,21.57469177,90.15360231,169.6643436,236.7789475,0.52
B3,Control,N,N,MAT.C.B3,5,F,9,3.953194181,20.73084388,104.4301524,332.3804771,355.3277954,0.291
B3,Control,N,N,MAT.C.B3,5,G,9,5.975865796,23.48344359,121.5348635,230.4900379,413.265338,0.286
B3,Control,N,N,MAT.C.B3,5,H,9,3.357495925,17.87821115,143.8473888,91.25281836,304.7734583,0.315
B3,Control,N,N,MAT.C.B3,6,A,6,0.275329272,34.82637885,104.9674292,1442.163759,1175.60726,0.671
B3,Control,N,N,MAT.C.B3,6,B,6,1.645274054,48.31701622,88.5723801,934.8972247,767.8105975,0.976
B3,Control,N,N,MAT.C.B3,6,C,6,1.216178228,46.57977487,103.3185344,1290.255843,782.2062173,0.75
B3,Control,N,N,MAT.C.B3,6,D,6,2.463195132,8.068477396,82.31886828,18.14296135,262.2010924,0.794
B3,Control,N,N,MAT.C.B3,6,E,6,1.488928464,7.169749791,74.6918555,125.287791,353.3539209,0.488
B3,Control,N,N,MAT.C.B3,6,F,6,2.457743969,9.257694614,81.60979583,43.35576587,294.2880634,0.565
B3,Control,N,N,MAT.C.B3,6,G,6,3.155781959,10.09146042,62.08310128,33.65773672,212.7861525,0.428
B3,Control,N,N,MAT.C.B3,6,H,6,1.373123715,13.40800358,88.94484777,11.44566289,185.9814788,0.609
B3,Control,N,N,MAT.C.B3,7,A,6,NA,NA,NA,NA,NA,NA
B3,Control,N,N,MAT.C.B3,7,B,6,0.718954248,11.87622476,41.32559586,64.26052973,324.2241689,0.125
B3,Control,N,N,MAT.C.B3,7,C,12,0.753121471,31.89797855,67.46677261,62.59142507,276.7601506,1.995
B3,Control,N,N,MAT.C.B3,7,D,12,0.905335252,43.8049371,65.15513637,399.1558141,276.0415188,1.96
B3,Control,N,N,MAT.C.B3,7,E,12,0.587361706,37.16165734,77.7631012,332.6647719,382.9757709,1.255
B3,Control,N,N,MAT.C.B3,7,F,12,0.865830357,33.34570057,64.38775694,438.1778555,335.8228436,2.103
B3,Control,N,N,MAT.C.B3,7,G,12,0.89969559,26.20386523,57.52150424,284.8940265,530.4030465,2.912
B3,Control,N,N,MAT.C.B3,7,H,12,0.548665757,23.69110865,56.26274364,272.0539282,1083.413655,2.089
B3,Control,N,N,MAT.C.B3,8,A,12,0.789696253,36.21605255,69.70638895,468.8251591,1165.662579,1.398
B3,Control,N,N,MAT.C.B3,8,B,12,1.132429684,33.29811884,69.69305096,542.9454791,1019.368477,1.93
B3,Control,N,N,MAT.C.B3,8,C,12,0.945300462,38.41275835,63.21481705,463.4294401,877.7000372,2.205
B3,Control,N,N,MAT.C.B3,8,D,12,0.747990891,40.02535448,66.37986544,86.88660309,1123.122243,1.755
B3,Control,N,N,MAT.C.B3,8,E,12,1.125011277,48.96691286,103.3168596,801.2888126,1606.574758,0.867
B3,Control,N,N,MAT.C.B3,8,F,12,0.847083063,44.43965416,97.43077371,939.5886827,1210.093822,1.256
B3,Control,N,N,MAT.C.B3,8,G,2,NA,NA,NA,NA,NA,NA
B3,Control,N,N,MAT.C.B3,8,H,2,1.410030641,30.87444623,123.0804368,1383.992413,2720.491191,0.454
B3,Control,N,N,MAT.C.B3,9,A,2,0.942051769,23.25968087,81.17438358,531.1340328,1282.96028,1.201
B3,Control,N,N,MAT.C.B3,9,B,2,2.680311891,38.6787618,127.2146972,1129.357614,2210.103212,0.57
B3,Control,N,N,MAT.C.B3,9,C,2,2.26113301,33.81274545,84.38651597,792.6253937,1246.541257,1.513
B3,Control,N,N,MAT.C.B3,9,D,2,1.834335885,32.87622755,82.23541481,96.52898346,1264.083036,0.98
B3,Control,N,N,MAT.C.B3,9,E,2,1.499942259,32.38549182,81.68424236,608.9071443,1194.94516,1.079
B3,Control,N,N,MAT.C.B3,9,F,2,3.607443631,39.07612587,127.3577622,0,164.0001565,0.856
B3,Control,N,N,MAT.C.B3,9,G,2,2.010024835,32.93752731,131.7283694,835.7900769,1363.945577,0.544
B3,Control,N,N,MAT.C.B3,9,H,2,2.422357142,18.78722912,95.91306853,600.685578,1281.194389,1.092
B3,Control,N,N,MAT.C.B3,10,A,8,10.71345496,26.25160839,66.1002203,263.6163924,423.6750442,0.794
B3,Control,N,N,MAT.C.B3,10,B,8,11.38057433,21.71840005,65.98541162,355.1311821,447.9171127,0.718
B3,Control,N,N,MAT.C.B3,10,C,8,8.60015201,20.7203732,68.70183172,265.251167,492.1799705,0.691
B3,Control,N,N,MAT.C.B3,10,D,8,4.632493054,78.94266618,135.6500659,0.105039311,540.0777708,0.632
B3,Control,N,N,MAT.C.B3,10,E,8,4.675331901,69.00770684,124.4367562,18.04508677,635.6581258,0.504
B3,Control,N,N,MAT.C.B3,10,F,3,8.517935522,47.99366541,55.74186531,0,164.9559103,0.44
B3,Control,N,N,MAT.C.B3,10,G,3,15.1694476,42.82134717,5.142635766,37.39582958,343.8626992,0.229
B3,Control,N,N,MAT.C.B3,10,H,3,10.27263043,19.31657642,87.18375198,12.86404887,719.2512706,0.418
B3,Control,N,N,MAT.C.B3,11,A,3,NA,26.78356945,2.859738906,5.625834302,204.2463911,0.295
B3,Control,N,N,MAT.C.B3,11,B,3,NA,24.09264556,84.97352173,11.46963287,793.0851183,0.191
B3,Control,N,N,MAT.C.B3,11,C,4,NA,19.70751539,57.9524094,142.4365548,323.8857867,0.776
B3,Control,N,N,MAT.C.B3,11,D,4,NA,17.17921896,133.296936,214.7969403,361.0402358,0.522
B3,Control,N,N,MAT.C.B3,11,E,4,NA,15.75426125,76.1101633,199.3111023,368.8925087,0.424
B3,Control,N,N,MAT.C.B3,11,F,4,NA,15.48800051,77.38766488,182.6443138,285.0431162,0.579
B3,Control,N,N,MAT.C.B3,11,G,4,NA,20.404334,105.5263979,205.763645,190.5781133,0.452
B3,Control,N,N,MAT.C.B3,11,H,4,NA,15.25326441,99.54264192,154.4237937,304.895759,0.42
