Species	Treatment	OTU 	LAP	NAG	PHOS	ABTS	TMB
Russula vinosa_1	Warmed	38	0.547140083	37.4497004	62.25835659	470.1289299	1238.484749
Russula vinosa_1	Warmed	38	4.217945977	62.72839551	81.05677034	585.8806114	1472.883938
Russula vinosa_1	Warmed	38	2.858364466	62.41146879	114.0768414	875.9111462	1602.465037
Russula vinosa_1	Warmed	38	2.232118685	41.16227754	84.29148229	364.5492544	1237.556265
Russula vinosa_1	Warmed	38	0.563861938	36.34821058	54.59588261	334.5035119	332.1397351
Russula vinosa_1	Warmed	38	0.546699549	31.7797647	50.32464567	475.6043855	1254.474556
Russula vinosa_1	Warmed	38	0.714576568	36.29283372	83.89841654	144.7654894	656.3127087
Russula vinosa_1	Warmed	38	1.388398549	56.558442	71.68916273	262.79651	751.3906201
Russula vinosa_1	Warmed	38	0.42863872	41.32656686	58.50422607	367.0367878	942.2159805
Russula nitida_1 	Warmed	39	1.596897863	49.19968182	89.29541803	0	64.08873338
Russula nitida_1 	Warmed	39	1.55467074	40.77312434	73.97276373	0.528001265	190.7963893
